County,Category,Education metrics,Urban vs Rural
Meru,Rural,"""Primary completed""",0
Kiambu,Rural,"""Primary completed""",0
Kajiado,Urban,Some university,1
Nyeri,Rural,"""Primary completed""",0
Kajiado,Urban,"""University completed """,1
Tharaka-Nithi,Rural,"""Secondary completed """,0
Homabay,Rural,"""Primary completed""",0
Nairobi City,Urban,"""Secondary completed """,1
Samburu,Urban,"""Secondary completed """,1
Nyeri,Urban,Some technical training after secondary school,1
Meru,Rural,"""Secondary completed """,0
Tharaka-Nithi,Rural,"""None """,0
Bomet,Rural,"""Primary completed""",0
Kisumu,Urban,"""Secondary completed """,1
Vihiga,Rural,"""Secondary completed """,0
Nyeri,Rural,"""Primary completed""",0
Nyeri,Rural,"""Secondary completed """,0
Murang'a,Rural,"""Primary completed""",0
Mandera,Rural,"""None """,0
Bungoma,Rural,"""Primary completed""",0
Bungoma,Rural,"""None """,0
Isiolo,Rural,"""None """,0
Kwale,Rural,"""None """,0
Uasin Gishu,Rural,"""Primary completed""",0
Uasin Gishu,Urban,Completed technical training after secondary school,1
Kisumu,Urban,"""Secondary completed """,1
Uasin Gishu,Rural,"""Secondary completed """,0
Bomet,Rural,Some university,0
Nakuru,Rural,"""Secondary completed """,0
Nandi,Rural,"""Primary completed""",0
Baringo,Rural,"""None """,0
Kisumu,Urban,"""Secondary completed """,1
Elgeyo-Marakwet,Rural,"""Primary completed""",0
Machakos,Rural,"""Secondary completed """,0
Busia,Rural,"""None """,0
Uasin Gishu,Urban,Some university,1
Laikipia,Rural,"""Primary completed""",0
Nairobi City,Urban,"""Secondary completed """,1
Meru,Rural,"""None """,0
Garissa,Urban,"""None """,1
Nakuru,Rural,Completed technical training after secondary school,0
Nyeri,Rural,"""Secondary completed """,0
Mombasa,Urban,"""Primary completed""",1
Uasin Gishu,Rural,"""Primary completed""",0
Lamu,Rural,"""None """,0
Turkana,Rural,"""None """,0
Nakuru,Urban,"""Secondary completed """,1
Kisumu,Rural,"""None """,0
Isiolo,Urban,"""None """,1
Nakuru,Rural,"""Secondary completed """,0
Migori,Rural,"""None """,0
Garissa,Rural,"""None """,0
Homabay,Rural,"""Primary completed""",0
Nyamira,Rural,"""Primary completed""",0
Makueni,Rural,"""Primary completed""",0
Baringo,Urban,Some technical training after secondary school,1
Mandera,Rural,"""None """,0
Mombasa,Urban,"""Secondary completed """,1
Tharaka-Nithi,Rural,"""Secondary completed """,0
Nairobi City,Urban,"""Secondary completed """,1
Busia,Rural,"""Secondary completed """,0
Nyamira,Rural,"""Primary completed""",0
Nyeri,Urban,"""Secondary completed """,1
Kajiado,Rural,"""Secondary completed """,0
Nairobi City,Urban,"""Primary completed""",1
Marsabit,Rural,"""None """,0
Nakuru,Urban,"""Secondary completed """,1
Laikipia,Urban,"""Secondary completed """,1
Homabay,Rural,"""Primary completed""",0
Marsabit,Rural,"""None """,0
Murang'a,Rural,"""None """,0
Nyeri,Rural,"""Secondary completed """,0
Nyamira,Rural,"""None """,0
Nyandarua,Rural,"""Primary completed""",0
Garissa,Rural,"""None """,0
Kirinyaga,Rural,"""None """,0
Bomet,Rural,"""Primary completed""",0
Nairobi City,Urban,Some university,1
Nairobi City,Urban,Completed technical training after secondary school,1
Marsabit,Rural,"""None """,0
Nairobi City,Urban,Completed technical training after secondary school,1
Mandera,Urban,"""None """,1
Vihiga,Rural,"""None """,0
Tharaka-Nithi,Rural,"""None """,0
Kajiado,Urban,"""Secondary completed """,1
Kirinyaga,Rural,"""Secondary completed """,0
Laikipia,Urban,"""Secondary completed """,1
Wajir,Rural,"""Primary completed""",0
Kisii,Rural,Completed technical training after secondary school,0
Siaya,Rural,"""Primary completed""",0
Migori,Rural,"""Primary completed""",0
Baringo,Rural,"""Secondary completed """,0
Nairobi City,Urban,"""Secondary completed """,1
Kajiado,Urban,Some university,1
Lamu,Rural,"""Primary completed""",0
Bungoma,Rural,Some technical training after secondary school,0
Turkana,Rural,"""None """,0
Kericho,Rural,"""Primary completed""",0
Kakamega,Rural,"""Secondary completed """,0
Meru,Urban,Completed technical training after secondary school,1
Nakuru,Rural,"""None """,0
Busia,Rural,"""Secondary completed """,0
Kisii,Rural,"""Secondary completed """,0
Meru,Rural,"""Secondary completed """,0
Machakos,Urban,"""Secondary completed """,1
Baringo,Rural,"""Secondary completed """,0
West Pokot,Rural,"""None """,0
Nakuru,Urban,"""Secondary completed """,1
Mombasa,Urban,"""Secondary completed """,1
Kisumu,Urban,"""Secondary completed """,1
Siaya,Rural,"""University completed """,0
Nyamira,Rural,"""Primary completed""",0
Homabay,Urban,Some university,1
Mandera,Urban,"""None """,1
Mandera,Urban,"""Secondary completed """,1
Narok,Rural,Completed technical training after secondary school,0
Bungoma,Rural,"""None """,0
Garissa,Urban,"""Secondary completed """,1
Garissa,Rural,"""None """,0
Kwale,Urban,"""Primary completed""",1
Wajir,Rural,"""None """,0
Nandi,Rural,"""Secondary completed """,0
West Pokot,Rural,"""Secondary completed """,0
Turkana,Rural,"""None """,0
Nakuru,Urban,"""Primary completed""",1
Nairobi City,Urban,"""Secondary completed """,1
Nakuru,Urban,"""Secondary completed """,1
Marsabit,Rural,"""None """,0
Bungoma,Rural,"""Secondary completed """,0
Nyandarua,Rural,"""Secondary completed """,0
Nakuru,Urban,"""Secondary completed """,1
Siaya,Rural,"""Primary completed""",0
Kakamega,Rural,"""None """,0
Wajir,Rural,"""None """,0
Tana River,Urban,"""None """,1
Mandera,Rural,"""None """,0
Kisumu,Rural,"""None """,0
Kiambu,Rural,"""None """,0
Kiambu,Rural,"""Primary completed""",0
Mombasa,Urban,"""Primary completed""",1
Vihiga,Rural,"""Secondary completed """,0
Turkana,Rural,"""None """,0
Marsabit,Rural,"""None """,0
Bomet,Rural,"""Secondary completed """,0
Bungoma,Rural,"""Primary completed""",0
Mandera,Rural,"""None """,0
Kilifi,Urban,"""Secondary completed """,1
Mandera,Rural,"""None """,0
Murang'a,Rural,"""Primary completed""",0
Nairobi City,Urban,"""Primary completed""",1
Kwale,Urban,Completed technical training after secondary school,1
Murang'a,Rural,"""Primary completed""",0
Narok,Urban,"""Primary completed""",1
Uasin Gishu,Rural,"""Primary completed""",0
Garissa,Rural,"""None """,0
Homabay,Rural,"""None """,0
Kisii,Urban,Completed technical training after secondary school,1
Nyandarua,Rural,"""Secondary completed """,0
Kiambu,Urban,Some technical training after secondary school,1
Kakamega,Rural,"""Primary completed""",0
Mandera,Rural,"""None """,0
Murang'a,Rural,"""Primary completed""",0
Uasin Gishu,Rural,"""Secondary completed """,0
Kajiado,Urban,"""Primary completed""",1
Meru,Urban,"""Secondary completed """,1
Kisumu,Rural,"""Primary completed""",0
Meru,Rural,"""None """,0
Kisumu,Urban,"""Primary completed""",1
Kitui,Rural,"""Primary completed""",0
Kiambu,Rural,"""Secondary completed """,0
Kajiado,Urban,"""Primary completed""",1
Uasin Gishu,Rural,"""Secondary completed """,0
Nairobi City,Urban,"""Primary completed""",1
Nakuru,Rural,"""Secondary completed """,0
Isiolo,Urban,"""None """,1
Trans Nzoia,Urban,"""Primary completed""",1
Narok,Urban,"""Primary completed""",1
Turkana,Rural,"""None """,0
Busia,Urban,Completed technical training after secondary school,1
Kitui,Urban,"""Primary completed""",1
Nakuru,Rural,"""Secondary completed """,0
Nyandarua,Urban,"""Secondary completed """,1
Murang'a,Rural,"""Primary completed""",0
Machakos,Rural,"""Primary completed""",0
Machakos,Urban,"""University completed """,1
Homabay,Rural,"""Secondary completed """,0
Marsabit,Rural,"""None """,0
Makueni,Rural,"""Primary completed""",0
Meru,Urban,Some technical training after secondary school,1
Kisii,Urban,"""Secondary completed """,1
Siaya,Rural,"""Primary completed""",0
Turkana,Rural,"""None """,0
Isiolo,Urban,"""Secondary completed """,1
Lamu,Rural,"""Primary completed""",0
Kajiado,Urban,"""Secondary completed """,1
Kisumu,Rural,"""Secondary completed """,0
Taita-Taveta,Rural,"""Primary completed""",0
Nyamira,Urban,"""Primary completed""",1
Isiolo,Urban,"""Secondary completed """,1
Kwale,Rural,"""Primary completed""",0
Trans Nzoia,Rural,"""Secondary completed """,0
Lamu,Rural,"""None """,0
Mombasa,Urban,"""Primary completed""",1
Meru,Rural,"""None """,0
Kisumu,Urban,"""Secondary completed """,1
Trans Nzoia,Rural,"""Secondary completed """,0
Nairobi City,Urban,"""Secondary completed """,1
Kiambu,Rural,"""Primary completed""",0
Tana River,Rural,"""None """,0
Mombasa,Urban,"""Primary completed""",1
Marsabit,Urban,"""Primary completed""",1
Kwale,Urban,"""Primary completed""",1
Kajiado,Rural,"""None """,0
Trans Nzoia,Rural,"""Primary completed""",0
Siaya,Rural,"""Primary completed""",0
Bomet,Rural,"""Primary completed""",0
Tharaka-Nithi,Rural,"""Secondary completed """,0
Migori,Rural,"""Primary completed""",0
Mandera,Urban,"""None """,1
Kisumu,Urban,"""Secondary completed """,1
Kajiado,Rural,"""Secondary completed """,0
West Pokot,Rural,"""None """,0
Narok,Rural,"""None """,0
Uasin Gishu,Urban,"""Secondary completed """,1
Taita-Taveta,Urban,"""University completed """,1
Nandi,Rural,"""Primary completed""",0
West Pokot,Rural,"""Primary completed""",0
Kirinyaga,Rural,"""Primary completed""",0
Mandera,Rural,"""None """,0
Kisii,Rural,"""Secondary completed """,0
Nairobi City,Urban,"""Primary completed""",1
Kitui,Urban,"""University completed """,1
Meru,Rural,"""Primary completed""",0
Kirinyaga,Rural,"""Primary completed""",0
Laikipia,Rural,"""Primary completed""",0
Baringo,Rural,"""None """,0
Bomet,Urban,"""Primary completed""",1
Turkana,Rural,"""None """,0
Wajir,Urban,"""None """,1
Nairobi City,Urban,"""Primary completed""",1
Nandi,Rural,"""Secondary completed """,0
Homabay,Urban,"""Primary completed""",1
Makueni,Urban,"""Secondary completed """,1
Nyamira,Urban,"""Primary completed""",1
Kwale,Urban,"""Secondary completed """,1
Nairobi City,Urban,"""Secondary completed """,1
Busia,Rural,"""Primary completed""",0
Homabay,Rural,"""Secondary completed """,0
Homabay,Urban,"""Secondary completed """,1
Laikipia,Rural,"""Primary completed""",0
Turkana,Rural,"""None """,0
Murang'a,Rural,"""Secondary completed """,0
Garissa,Rural,"""None """,0
Samburu,Rural,"""None """,0
Kisumu,Urban,Completed technical training after secondary school,1
Tharaka-Nithi,Rural,Some technical training after secondary school,0
Kisumu,Urban,"""Primary completed""",1
Nakuru,Urban,"""Secondary completed """,1
Machakos,Rural,"""Secondary completed """,0
Kisumu,Urban,"""Primary completed""",1
Elgeyo-Marakwet,Rural,"""Secondary completed """,0
Nakuru,Urban,"""None """,1
Nakuru,Rural,"""None """,0
Tana River,Rural,"""None """,0
Nairobi City,Urban,"""Primary completed""",1
Nairobi City,Urban,Some technical training after secondary school,1
Nairobi City,Urban,"""Secondary completed """,1
Siaya,Rural,"""Primary completed""",0
Turkana,Urban,Completed technical training after secondary school,1
Nairobi City,Urban,"""Secondary completed """,1
Busia,Urban,"""None """,1
Migori,Rural,"""Primary completed""",0
Nakuru,Rural,"""Primary completed""",0
Kirinyaga,Rural,"""Primary completed""",0
Busia,Urban,"""Primary completed""",1
Tana River,Rural,"""None """,0
Marsabit,Rural,"""None """,0
Nyandarua,Rural,Some university,0
Laikipia,Rural,"""Primary completed""",0
Bomet,Rural,"""Secondary completed """,0
Taita-Taveta,Rural,"""Secondary completed """,0
Mandera,Rural,"""None """,0
Kajiado,Rural,"""Secondary completed """,0
Narok,Rural,"""Secondary completed """,0
Narok,Rural,"""Secondary completed """,0
Nairobi City,Urban,"""Secondary completed """,1
Turkana,Rural,"""None """,0
Nairobi City,Urban,Completed technical training after secondary school,1
Kericho,Rural,"""Primary completed""",0
Baringo,Rural,"""None """,0
Tana River,Rural,"""None """,0
Machakos,Rural,Some technical training after secondary school,0
Nakuru,Rural,"""Primary completed""",0
Machakos,Urban,Completed technical training after secondary school,1
Nyeri,Urban,"""Secondary completed """,1
Kiambu,Urban,"""Secondary completed """,1
Kisumu,Rural,"""Primary completed""",0
Narok,Rural,"""None """,0
Uasin Gishu,Rural,"""Secondary completed """,0
Nyeri,Rural,"""Primary completed""",0
Turkana,Urban,"""None """,1
Kisii,Urban,"""Secondary completed """,1
Trans Nzoia,Urban,Completed technical training after secondary school,1
Kakamega,Urban,"""None """,1
Uasin Gishu,Rural,Completed technical training after secondary school,0
Bungoma,Rural,"""Secondary completed """,0
Makueni,Rural,Completed technical training after secondary school,0
Uasin Gishu,Urban,Some university,1
Elgeyo-Marakwet,Rural,"""Primary completed""",0
Kilifi,Urban,"""Primary completed""",1
Bungoma,Urban,"""Secondary completed """,1
Marsabit,Rural,"""None """,0
Samburu,Urban,"""University completed """,1
Mombasa,Urban,"""Secondary completed """,1
Meru,Urban,"""Primary completed""",1
Taita-Taveta,Rural,"""None """,0
Samburu,Rural,"""None """,0
Kakamega,Rural,"""Primary completed""",0
Nairobi City,Urban,"""Secondary completed """,1
West Pokot,Rural,"""Primary completed""",0
Kiambu,Rural,"""Primary completed""",0
Trans Nzoia,Rural,"""Secondary completed """,0
Kajiado,Urban,Completed technical training after secondary school,1
West Pokot,Rural,Completed technical training after secondary school,0
Murang'a,Rural,"""Secondary completed """,0
Nairobi City,Urban,"""Primary completed""",1
Isiolo,Urban,"""Secondary completed """,1
Laikipia,Urban,Completed technical training after secondary school,1
Samburu,Rural,"""Primary completed""",0
Nandi,Rural,"""Secondary completed """,0
Vihiga,Rural,"""None """,0
Kisii,Rural,"""Primary completed""",0
Kakamega,Rural,"""Primary completed""",0
Kilifi,Rural,"""None """,0
Isiolo,Rural,"""None """,0
Kitui,Rural,"""None """,0
Taita-Taveta,Urban,"""Secondary completed """,1
Lamu,Urban,Completed technical training after secondary school,1
Kilifi,Rural,"""None """,0
Kitui,Urban,"""Primary completed""",1
Bungoma,Urban,"""Primary completed""",1
Mandera,Urban,"""Primary completed""",1
Mandera,Urban,"""None """,1
Meru,Rural,"""Secondary completed """,0
Homabay,Rural,"""Primary completed""",0
Kitui,Rural,"""Primary completed""",0
Wajir,Urban,"""None """,1
Kirinyaga,Rural,Completed technical training after secondary school,0
Nairobi City,Urban,"""Secondary completed """,1
Kisii,Rural,"""Secondary completed """,0
Homabay,Rural,"""None """,0
Kakamega,Rural,"""Secondary completed """,0
West Pokot,Rural,"""Primary completed""",0
Kakamega,Rural,"""Secondary completed """,0
Marsabit,Rural,"""None """,0
Kirinyaga,Rural,"""Secondary completed """,0
Kwale,Rural,"""None """,0
Homabay,Rural,"""Primary completed""",0
Bungoma,Rural,"""Secondary completed """,0
Siaya,Rural,"""Primary completed""",0
Wajir,Rural,"""None """,0
Kitui,Urban,"""Primary completed""",1
Kitui,Rural,"""None """,0
Kisumu,Urban,"""Primary completed""",1
Laikipia,Rural,"""Secondary completed """,0
Kisii,Urban,"""Secondary completed """,1
Isiolo,Rural,"""Secondary completed """,0
Mandera,Rural,"""None """,0
Kiambu,Urban,"""Secondary completed """,1
Mandera,Rural,"""None """,0
Murang'a,Rural,"""Primary completed""",0
Homabay,Urban,"""Secondary completed """,1
Machakos,Urban,"""Secondary completed """,1
Taita-Taveta,Urban,"""Secondary completed """,1
Mombasa,Urban,"""Secondary completed """,1
Homabay,Urban,"""Secondary completed """,1
Turkana,Rural,"""None """,0
Turkana,Rural,"""None """,0
Tharaka-Nithi,Rural,"""Primary completed""",0
Machakos,Rural,"""Primary completed""",0
Makueni,Rural,"""None """,0
Busia,Rural,"""None """,0
Nakuru,Urban,"""Primary completed""",1
Vihiga,Rural,"""University completed """,0
Busia,Rural,"""Primary completed""",0
West Pokot,Urban,"""Primary completed""",1
Turkana,Rural,"""None """,0
Migori,Urban,"""Primary completed""",1
Kirinyaga,Rural,"""None """,0
Kisii,Rural,Some university,0
Busia,Rural,"""Primary completed""",0
Nakuru,Rural,"""Primary completed""",0
Narok,Rural,"""None """,0
Nairobi City,Urban,"""Primary completed""",1
Migori,Rural,"""Primary completed""",0
Nyeri,Urban,Some technical training after secondary school,1
Kericho,Rural,"""Primary completed""",0
Trans Nzoia,Urban,Some technical training after secondary school,1
Embu,Rural,"""None """,0
Lamu,Urban,"""Secondary completed """,1
Kwale,Rural,"""None """,0
Bungoma,Urban,Completed technical training after secondary school,1
Nakuru,Rural,"""University completed """,0
Kakamega,Rural,"""None """,0
Nakuru,Urban,"""University completed """,1
Wajir,Rural,"""None """,0
Nairobi City,Urban,"""Primary completed""",1
Kilifi,Rural,"""Primary completed""",0
Baringo,Urban,"""Secondary completed """,1
Kisumu,Rural,"""Secondary completed """,0
Nairobi City,Urban,Some university,1
Kwale,Urban,"""None """,1
Nairobi City,Urban,"""Secondary completed """,1
Marsabit,Urban,"""None """,1
Makueni,Rural,"""Primary completed""",0
Isiolo,Urban,"""None """,1
Samburu,Urban,Completed technical training after secondary school,1
Kajiado,Urban,"""Primary completed""",1
Nandi,Rural,"""Primary completed""",0
Nyamira,Urban,"""Primary completed""",1
Nairobi City,Urban,"""University completed """,1
Lamu,Urban,"""Primary completed""",1
Kitui,Rural,"""Primary completed""",0
Laikipia,Urban,"""Secondary completed """,1
Kericho,Rural,"""None """,0
West Pokot,Rural,"""None """,0
Kisii,Rural,"""Secondary completed """,0
Garissa,Urban,"""Secondary completed """,1
Isiolo,Urban,"""None """,1
Murang'a,Rural,"""Primary completed""",0
Homabay,Rural,"""Primary completed""",0
Kericho,Rural,"""None """,0
Busia,Urban,"""Secondary completed """,1
Kirinyaga,Urban,"""None """,1
Mandera,Rural,"""None """,0
Marsabit,Rural,"""None """,0
Wajir,Rural,"""None """,0
Nyamira,Rural,"""Secondary completed """,0
Busia,Rural,"""None """,0
Garissa,Rural,"""None """,0
Machakos,Rural,"""Primary completed""",0
Lamu,Rural,"""Primary completed""",0
Nyeri,Rural,"""Secondary completed """,0
Kitui,Rural,"""Primary completed""",0
Kitui,Rural,"""Secondary completed """,0
Turkana,Rural,"""Primary completed""",0
Wajir,Rural,"""None """,0
Nakuru,Rural,"""Secondary completed """,0
West Pokot,Urban,"""Secondary completed """,1
Mandera,Rural,"""None """,0
Wajir,Rural,"""None """,0
Meru,Urban,"""Secondary completed """,1
Kirinyaga,Rural,"""Primary completed""",0
Nairobi City,Urban,"""Primary completed""",1
Homabay,Rural,"""None """,0
Kitui,Rural,"""Primary completed""",0
Kericho,Urban,"""University completed """,1
Wajir,Rural,"""None """,0
Garissa,Rural,"""None """,0
Elgeyo-Marakwet,Rural,"""None """,0
Bungoma,Urban,"""Secondary completed """,1
Siaya,Urban,"""Secondary completed """,1
Turkana,Rural,"""None """,0
Trans Nzoia,Urban,"""Primary completed""",1
Tharaka-Nithi,Urban,Completed technical training after secondary school,1
Garissa,Urban,"""None """,1
Kericho,Urban,"""Secondary completed """,1
Kisumu,Rural,"""Primary completed""",0
Mombasa,Urban,"""University completed """,1
Kisumu,Rural,"""None """,0
Nairobi City,Urban,"""Secondary completed """,1
Tana River,Urban,"""Secondary completed """,1
Migori,Rural,"""Primary completed""",0
Kericho,Rural,"""None """,0
Mombasa,Urban,"""Primary completed""",1
Bomet,Rural,"""Primary completed""",0
Homabay,Rural,"""Secondary completed """,0
Turkana,Rural,"""None """,0
Vihiga,Rural,"""None """,0
Taita-Taveta,Urban,"""University completed """,1
Mombasa,Urban,"""Secondary completed """,1
Marsabit,Rural,"""Primary completed""",0
Makueni,Rural,"""Secondary completed """,0
Wajir,Rural,"""None """,0
Nakuru,Urban,"""Primary completed""",1
West Pokot,Rural,"""None """,0
Garissa,Rural,"""None """,0
Kiambu,Urban,"""Primary completed""",1
Murang'a,Rural,"""Primary completed""",0
Bomet,Rural,"""Primary completed""",0
Elgeyo-Marakwet,Rural,"""None """,0
Busia,Rural,"""Primary completed""",0
Taita-Taveta,Rural,"""Primary completed""",0
Kwale,Urban,"""Secondary completed """,1
Wajir,Rural,"""None """,0
Tana River,Rural,"""None """,0
Turkana,Rural,"""None """,0
Turkana,Rural,"""None """,0
Marsabit,Urban,"""None """,1
Kiambu,Urban,Some university,1
Busia,Urban,"""Secondary completed """,1
Garissa,Urban,"""None """,1
Kirinyaga,Urban,"""Primary completed""",1
Kilifi,Rural,"""Primary completed""",0
Turkana,Urban,"""Primary completed""",1
Nairobi City,Urban,"""Secondary completed """,1
Nyeri,Urban,"""Secondary completed """,1
Kisii,Urban,"""University completed """,1
Trans Nzoia,Urban,Completed technical training after secondary school,1
Siaya,Rural,"""Primary completed""",0
Nairobi City,Urban,"""Secondary completed """,1
Siaya,Urban,"""None """,1
Nyandarua,Rural,"""Secondary completed """,0
West Pokot,Rural,"""None """,0
Siaya,Rural,"""Secondary completed """,0
Kirinyaga,Rural,Some university,0
Nairobi City,Urban,Completed technical training after secondary school,1
Turkana,Urban,"""None """,1
Migori,Urban,"""University completed """,1
Homabay,Urban,Completed technical training after secondary school,1
Bomet,Rural,"""Primary completed""",0
Baringo,Rural,"""University completed """,0
Uasin Gishu,Urban,"""Primary completed""",1
Taita-Taveta,Urban,"""University completed """,1
Makueni,Rural,"""None """,0
Uasin Gishu,Urban,"""Secondary completed """,1
Embu,Rural,"""Secondary completed """,0
Wajir,Rural,"""None """,0
Nakuru,Rural,"""None """,0
Samburu,Rural,"""None """,0
Garissa,Urban,"""None """,1
Kajiado,Urban,"""Secondary completed """,1
Tharaka-Nithi,Rural,"""Primary completed""",0
Baringo,Rural,"""None """,0
Laikipia,Rural,"""Secondary completed """,0
Kilifi,Rural,"""Primary completed""",0
Lamu,Rural,"""Primary completed""",0
Nandi,Urban,"""Primary completed""",1
Kirinyaga,Rural,"""None """,0
Baringo,Urban,Completed technical training after secondary school,1
West Pokot,Urban,"""None """,1
Marsabit,Rural,"""None """,0
Kilifi,Rural,"""None """,0
Isiolo,Rural,"""None """,0
Machakos,Rural,"""Secondary completed """,0
Migori,Urban,Some technical training after secondary school,1
Tana River,Rural,"""None """,0
Busia,Rural,"""Primary completed""",0
Nairobi City,Urban,"""Secondary completed """,1
Elgeyo-Marakwet,Rural,"""Secondary completed """,0
Nairobi City,Urban,"""Secondary completed """,1
Isiolo,Rural,"""None """,0
Isiolo,Rural,"""None """,0
Kakamega,Urban,Completed technical training after secondary school,1
Lamu,Rural,"""Primary completed""",0
Homabay,Rural,"""Secondary completed """,0
Murang'a,Rural,"""Primary completed""",0
Kitui,Rural,"""Secondary completed """,0
Mandera,Urban,"""None """,1
Baringo,Rural,"""Primary completed""",0
Kitui,Rural,"""Primary completed""",0
Marsabit,Rural,"""None """,0
Kajiado,Rural,"""Secondary completed """,0
Kericho,Urban,"""Secondary completed """,1
Homabay,Rural,"""University completed """,0
Kilifi,Urban,Completed technical training after secondary school,1
Kericho,Urban,Completed technical training after secondary school,1
Bomet,Rural,"""Secondary completed """,0
Homabay,Rural,"""Primary completed""",0
Kirinyaga,Urban,"""Secondary completed """,1
Kisumu,Rural,"""Primary completed""",0
Samburu,Urban,Completed technical training after secondary school,1
Kitui,Rural,"""Secondary completed """,0
Murang'a,Urban,"""None """,1
Kirinyaga,Rural,"""Secondary completed """,0
Siaya,Rural,"""Secondary completed """,0
Wajir,Rural,"""None """,0
Makueni,Rural,"""Secondary completed """,0
Nyandarua,Rural,"""Primary completed""",0
Wajir,Rural,"""None """,0
Embu,Rural,"""Secondary completed """,0
Kirinyaga,Rural,"""Secondary completed """,0
Meru,Rural,"""Secondary completed """,0
Kisumu,Rural,Completed technical training after secondary school,0
Embu,Rural,"""Primary completed""",0
Garissa,Rural,"""None """,0
Kakamega,Rural,"""Primary completed""",0
Tharaka-Nithi,Rural,Some technical training after secondary school,0
Mandera,Rural,"""None """,0
Meru,Urban,"""Secondary completed """,1
Kilifi,Urban,"""Primary completed""",1
Nairobi City,Urban,"""Secondary completed """,1
Migori,Urban,"""Secondary completed """,1
Marsabit,Rural,"""None """,0
Nyeri,Rural,"""Secondary completed """,0
Marsabit,Urban,"""None """,1
Trans Nzoia,Urban,"""Secondary completed """,1
Nairobi City,Urban,Completed technical training after secondary school,1
Kirinyaga,Rural,"""None """,0
Bomet,Rural,"""Secondary completed """,0
Kakamega,Urban,"""Primary completed""",1
Kiambu,Rural,"""University completed """,0
